Тексты	Вхождения	ipm	Фрагмент
31	33	0.09	в глаза бросилось
26	26	0.07	с криком бросилась
23	23	0.06	с криком бросились
22	22	0.06	в глаза бросилась
21	22	0.06	со слезами бросилась
18	18	0.05	в ужасе бросился
17	18	0.05	в глаза бросился
17	17	0.05	с криком бросился
17	17	0.05	в глаза бросились
15	15	0.04	в отчаянии бросился
14	15	0.04	в руках бросился
14	14	0.04	с визгом бросилась
14	14	0.04	в руке бросился
14	14	0.04	с визгом бросились
14	14	0.04	с места бросился
14	14	0.04	в панике бросились
13	14	0.04	в ужасе бросились
12	12	0.03	в слезах бросилась
12	12	0.03	с воплем бросилась
12	12	0.03	в ужасе бросилась
10	10	0.03	в панике бросилась
10	10	0.03	со слезами бросился
10	10	0.03	от радости бросился
10	10	0.03	с плачем бросилась
9	9	0.02	с рыданиями бросилась
9	9	0.02	в испуге бросилась
9	9	0.02	без оглядки бросился
8	9	0.02	в нос бросится
8	8	0.02	с радостью бросился
8	8	0.02	с постели бросилась
8	8	0.02	с лаем бросилась
8	8	0.02	с ревом бросился
8	8	0.02	с визгом бросился
8	8	0.02	с ревом бросилась
8	8	0.02	с размаху бросился
8	8	0.02	в отчаянии бросилась
7	7	0.02	под поезд бросился
7	7	0.02	в воду броситься
6	7	0.02	со стула бросился
6	6	0.02	с дивана бросился
6	6	0.02	с яростью бросились
6	6	0.02	с яростью бросился
6	6	0.02	в беспорядке бросились
6	6	0.02	на шею бросится
6	6	0.02	в слезах бросился
6	6	0.02	в глаза бросится
6	6	0.02	с лестницы бросился
6	6	0.02	в испуге бросился
5	5	0.01	на шею бросилась
5	5	0.01	с ножом бросился
5	5	0.01	от радости бросилась
5	5	0.01	с места бросилась
5	5	0.01	в испуге бросились
5	5	0.01	за голову бросился
5	5	0.01	в голову броситься
5	5	0.01	с лаем бросились
5	5	0.01	в воду бросилась
5	5	0.01	на шею броситься
5	5	0.01	на глазах бросился
5	5	0.01	с жадностью бросились
5	5	0.01	с наслаждением бросился
5	5	0.01	на землю бросился
5	5	0.01	в сторону бросилась
4	6	0.02	с криками бросились
4	5	0.01	без памяти бросился
4	5	0.01	в голову бросилась
4	4	0.01	в голову бросилось
4	4	0.01	в бешенстве бросился
4	4	0.01	с воплем бросился
4	4	0.01	по сигналу бросились
4	4	0.01	в лицо бросилась
4	4	0.01	на четвереньках бросился
4	4	0.01	в руках бросились
4	4	0.01	в панике бросился
4	4	0.01	в комнату бросился
4	4	0.01	с восторгом бросился
4	4	0.01	в огонь брошусь
4	4	0.01	в воду брошусь
4	4	0.01	к земле бросился
4	4	0.01	без памяти бросилась
4	4	0.01	в страхе бросилась
4	4	0.01	в страхе бросились
4	4	0.01	под поезд бросилась
4	4	0.01	с ужасом бросилась
4	4	0.01	с размаху бросилась
4	4	0.01	по команде бросились
3	3	0.01	с кинжалом бросился
3	3	0.01	от страха бросились
3	3	0.01	от ужаса бросился
3	3	0.01	с отчаяния бросилась
3	3	0.01	на улице бросилась
3	3	0.01	от ужаса бросилась
3	3	0.01	с жаром бросились
375	420	1.12	бросилось в глаза
174	184	0.49	бросилась в глаза
151	174	0.46	бросился в воду
140	151	0.4	бросился к двери
120	130	0.35	бросился в глаза
118	125	0.33	бросились в глаза
108	128	0.34	бросилась на шею
83	87	0.23	бросился к окну
78	86	0.23	бросилась к двери
77	85	0.23	бросилась в голову
72	77	0.21	броситься в воду
72	77	0.21	бросился в сторону
68	73	0.19	бросился на колени
62	70	0.19	бросилась на колени
60	65	0.17	бросились в воду
58	60	0.16	бросился к выходу
57	59	0.16	бросился на помощь
56	64	0.17	бросился на диван
55	60	0.16	бросилась в воду
53	57	0.15	бросилась в лицо
53	55	0.15	бросились к окнам
49	51	0.14	бросился к дверям
49	50	0.13	бросилась в сторону
48	48	0.13	бросилась к окну
47	48	0.13	броситься на шею
45	50	0.13	бросился на шею
44	45	0.12	бросился на улицу
44	44	0.12	бросится в глаза
42	46	0.12	бросился на землю
40	45	0.12	бросился на постель
40	43	0.11	бросился к ногам
40	41	0.11	бросился к столу
39	45	0.12	бросились в атаку
39	43	0.11	броситься в глаза
38	44	0.12	бросился в объятия
38	38	0.1	бросились к выходу
37	42	0.11	бросился к телефону
35	35	0.09	бросились на помощь
34	35	0.09	броситься в объятия
34	34	0.09	бросился в реку
34	34	0.09	бросился в комнату
32	35	0.09	бросился в постель
31	35	0.09	броситься к ногам
31	33	0.09	бросился в атаку
31	31	0.08	бросились в объятия
30	33	0.09	бросился в ноги
30	30	0.08	бросились к дверям
28	30	0.08	бросился к отцу
28	29	0.08	бросилась на постель
27	30	0.08	бросилась под поезд
27	29	0.08	бросился в кусты
27	28	0.07	бросились в погоню
27	28	0.07	бросилась в объятия
27	28	0.07	бросилась на кровать
26	34	0.09	бросился в море
26	28	0.07	бросилась к дверям
26	27	0.07	бросился в кресло
26	26	0.07	бросилась в комнату
25	26	0.07	броситься на помощь
25	25	0.07	бросилась к мужу
25	25	0.07	бросился на пол
25	25	0.07	бросились к окну
24	27	0.07	броситься в море
24	25	0.07	бросилась к выходу
24	24	0.06	бросилась к матери
23	27	0.07	бросилась на диван
23	26	0.07	бросился в дом
23	24	0.06	бросилась к отцу
22	24	0.06	бросилась в постель
22	23	0.06	бросилась в спальню
22	23	0.06	броситься в атаку
22	22	0.06	бросился в угол
22	22	0.06	бросился на кровать
21	23	0.06	бросился в коридор
21	23	0.06	бросился к матери
21	22	0.06	бросился в лес
21	21	0.06	бросилась к ногам
21	21	0.06	бросился в кухню
20	22	0.06	бросилась к телефону
20	20	0.05	бросился в погоню
20	20	0.05	бросились на землю
20	20	0.05	бросился из комнаты
20	20	0.05	бросился в кабинет
19	20	0.05	бросилась в море
19	20	0.05	бросилась в ноги
19	19	0.05	броситься в реку
19	19	0.05	бросилась на грудь
18	20	0.05	бросился в толпу
18	19	0.05	бросились на штурм
18	19	0.05	бросился в бой
17	21	0.06	бросились в штыки
17	19	0.05	бросилась в реку
17	19	0.05	броситься в ноги
